commit_id,idx,changed_type,label,raw_changed_line,changed_line
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,0,added,0.0,"IOException ioe = new MalformedURLException ( ""Couldn't convert '"" +",IOException ioe = new MalformedURLException   <STR> +
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,1,added,0.0,"url . getPort ( ) , url . getPath ( ) , url . getQuery ( ) , url . getRef ( ) ) ;",url   getPort       url   getPath       url   getQuery       url   getRef
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,2,added,0.0,"if ( ""http"" . equals ( url . getProtocol ( ) ) | | ""https"" . equals ( url . getProtocol ( ) ) ) {",if   <STR>   equals   url   getProtocol
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,3,added,1.0,dest = normalize ( dest ) ;,dest = normalize   dest
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,4,added,0.0,"url = new URL ( ESCAPE PATTERN . matcher ( uriString ) . replaceAll ( "" % $1"" ) ) ;",url = new URL   ESCAPE PATTERN   matcher   uriString     replaceAll   <STR>
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,5,added,0.0,"URI uri = new URI ( url . getProtocol ( ) , url . getUserInfo ( ) , url . getHost ( ) ,",URI uri = new URI   url   getProtocol       url   getUserInfo       url   getHost
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,6,added,0.0,},
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,7,added,0.0,import java . util . regex . Matcher ;,import java   util   regex   Matcher
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,8,added,0.0,return url ;,return url
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,9,added,0.0,"url . toString ( ) + ""' to a valid URI"" ) ;",url   toString     + <STR>
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,10,added,0.0,private URL normalize ( URL url ) throws IOException {,private URL normalize   URL url   throws IOException
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,11,added,0.0,throw ioe ;,throw ioe
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,12,added,0.0,String uriString = uri . toString ( ) ;,String uriString = uri   toString
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,13,added,0.0,import java . net . MalformedURLException ;,import java   net   MalformedURLException
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,14,added,1.0,src = normalize ( src ) ;,src = normalize   src
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,15,added,0.0,import java . net . URI ;,import java   net   URI
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,16,added,0.0,import java . net . URISyntaxException ;,import java   net   URISyntaxException
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,17,added,0.0,"private static final Pattern ESCAPE PATTERN = Pattern . compile ( "" % 25 ( [ 0 - 9a - fA - F ] [ 0 - 9a - fA - F ] ) "" ) ;",private static final Pattern ESCAPE PATTERN = Pattern   compile   <STR>
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,18,added,0.0,} catch ( URISyntaxException e ) {,catch   URISyntaxException e
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,19,added,0.0,ioe . initCause ( e ) ;,ioe   initCause   e
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,20,added,0.0,import java . util . regex . Pattern ;,import java   util   regex   Pattern
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,21,added,1.0,url = normalize ( url ) ;,url = normalize   url
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,22,added,0.0,try {,try
1f73722ffb375010e74eaa5b99004ad88df93bf6,0,added,0.0,"private static final String LICENSE = ""license"" ;",private static final String LICENSE = <STR>
1f73722ffb375010e74eaa5b99004ad88df93bf6,1,added,0.0,"private static final String LICENSE URL = ""url"" ;",private static final String LICENSE URL = <STR>
1f73722ffb375010e74eaa5b99004ad88df93bf6,2,added,0.0,"String url = getFirstChildText ( license , LICENSE URL ) ;",String url = getFirstChildText   license   LICENSE URL
1f73722ffb375010e74eaa5b99004ad88df93bf6,3,added,0.0,licenses . normalize ( ) ;,licenses   normalize
1f73722ffb375010e74eaa5b99004ad88df93bf6,4,added,0.0,},
1f73722ffb375010e74eaa5b99004ad88df93bf6,5,added,0.0,import org . apache . ivy . core . module . descriptor . License ;,import org   apache   ivy   core   module   descriptor   License
1f73722ffb375010e74eaa5b99004ad88df93bf6,6,added,0.0,return ( License [ ] ) lics . toArray ( new License [ lics . size ( ) ] ) ;,return   License       lics   toArray   new License   lics   size
1f73722ffb375010e74eaa5b99004ad88df93bf6,7,added,0.0,for ( Iterator it = getAllChilds ( licenses ) . iterator ( ) ; it . hasNext ( ) ; ) {,for   Iterator it = getAllChilds   licenses     iterator       it   hasNext
1f73722ffb375010e74eaa5b99004ad88df93bf6,8,added,1.0,if ( name ! = null | | url ! = null ) {,if   name ! = null | | url ! = null
